"Country","Total_Cases","New_Cases","Total_Deaths","New_Deaths","Total_Recovered","Active_Cases","Serious","Tot_Cases","Deaths","Total_Tests","Tests","CASES_per_Test","Death_in_Closed_Cases","Rank_by_Testing_rate","Rank_by_Death_rate","Rank_by_Cases_rate","Rank_by_Death_of_Closed_Cases","TOP_DEATH","TOP_TEST"
"Gambia","2,401.00","113","33","4","435","1,885.00","","990","33","4,445.00","4,445.00","2,425,361","15.70%","174","94","119","10","83","174","Gambia"
"Georgia","1,370.00","9","4","","1,108.00","245","","344","4","79,021.00","79,021.00","3,988,076","1.51%","61","162","159","155","109","61","Georgia"
"Germany","231,284.00","1,584.00","111","10","204,800.00","17,160.00","231","2,759.00","111","121,656.00","121,656.00","83,821,481","4.35%","43","48","83","75","45","43","Germany"
"Ghana","43,260.00","166","8","5","41,276.00","1,723.00","5","1,388.00","8","13,841.00","13,841.00","31,158,344","0.63%","141","141","106","184","105","141","Ghana"
"Gibraltar","229","6","0","","200","29","","6,797.00","","841,971.00","841,971.00","33,690","","5","","35","","114","5","Gibraltar"
"Greece","7,934.00","250","23","","3,804.00","3,895.00","30","762","23","78,386.00","78,386.00","10,415,735","5.82%","62","107","130","47","92","62","Greece"
"Greenland","14","","0","","14","0","","247","","113,518.00","113,518.00","56,784","","45","","172","","114","45","Greenland"
"Grenada","24","","0","","24","0","","213","","55,526.00","55,526.00","112,596","","84","","178","","114","84","Grenada"
"Guadeloupe","510","","37","","289","206","2","1,275.00","37","58,943.00","58,943.00","400,134","4.93%","81","89","111","60","80","81","Guadeloupe"
"Guatemala","65,983.00","1,102.00","140","39","54,351.00","9,126.00","5","3,674.00","140","11,871.00","11,871.00","17,959,594","4.41%","146","42","67","72","41","146","Guatemala"
"Guinea","8,876.00","84","4","","7,628.00","1,195.00","24","674","4","1,288.00","1,288.00","13,178,580","0.69%","190","162","137","180","109","189","Guinea"
"Guinea-Bissau","2,149.00","32","17","","1,015.00","1,101.00","5","1,089.00","17","760","760","1,974,061","3.15%","192","118","116","97","96","191","Guinea-Bissau"
"Guyana","846","70","37","2","399","418","8","1,075.00","37","8,261.00","8,261.00","787,081","6.78%","158","89","117","37","80","158","Guyana"
"Haiti","7,997.00","48","17","","5,447.00","2,354.00","","700","17","1,874.00","1,874.00","11,421,419","3.47%","184","118","135","88","96","184","Haiti"
"Honduras","52,298.00","628","162","15","7,867.00","42,823.00","43","5,269.00","162","12,890.00","12,890.00","9,925,734","16.97%","142","36","50","9","35","142","Honduras"
"Hong Kong","4,605.00","18","10","1","3,827.00","705","31","614","10","103,981.00","103,981.00","7,505,365","1.87%","52","134","140","143","103","52","Hong Kong"
"Hungary","5,046.00","44","63","","3,678.00","759","7","523","63","40,394.00","40,394.00","9,656,850","14.21%","102","70","148","13","64","102","Hungary"
"Iceland","2,040.00","5","29","","1,913.00","117","1","5,973.00","29","561,236.00","561,236.00","341,550","0.52%","10","99","43","186","87","10","Iceland"
"India","2,904,329.00","68,507.00","40","981","2,157,941.00","691,413.00","8,944.00","2,102.00","40","23,636.00","23,636.00","1,381,863,561","2.48%","123","87","90","121","78","123","India"
"Indonesia","147,211.00","2,266.00","23","72","100,674.00","40,119.00","","537","23","7,192.00","7,192.00","273,918,933","5.99%","163","107","147","44","92","163","Indonesia"
"Iran","352,558.00","2,279.00","241","139","304,236.00","28,058.00","3,869.00","4,190.00","241","34,940.00","34,940.00","84,138,745","6.24%","108","25","56","41","24","108","Iran"
"Iraq","192,797.00","3,995.00","154","87","137,200.00","49,389.00","614","4,779.00","154","33,929.00","33,929.00","40,340,634","4.33%","110","38","52","76","37","110","Iraq"
"Ireland","27,676.00","129","359","1","23,364.00","2,536.00","6","5,596.00","359","148,747.00","148,747.00","4,945,309","7.06%","34","18","46","36","18","34","Ireland"
"Isle of Man","336","","282","","312","0","","3,948.00","282","110,734.00","110,734.00","85,096","7.14%","47","21","60","35","21","47","Isle of Man"
"Israel","99,599.00","1,630.00","86","14","74,579.00","24,225.00","389","10,829.00","86","237,029.00","237,029.00","9,197,590","1.05%","16","57","19","169","52","16","Israel"
"Italy","256,118.00","840","586","6","204,686.00","16,014.00","68","4,237.00","586","128,878.00","128,878.00","60,449,180","14.75%","40","7","55","12","7","40","Italy"
"Ivory Coast","17,249.00","17","4","1","14,611.00","2,526.00","","652","4","4,426.00","4,426.00","26,463,011","0.76%","175","162","138","175","109","175","Ivory Coast"
"Jamaica","1,192.00","46","5","","772","406","1","402","5","16,610.00","16,610.00","2,962,971","1.78%","135","155","156","144","108","135","Jamaica"
"Japan","58,501.00","951","9","16","45,266.00","12,091.00","237","463","9","9,962.00","9,962.00","126,421,114","2.46%","152","137","154","125","104","152","Japan"
"Jordan","1,498.00","16","1","","1,261.00","226","3","147","1","70,566.00","70,566.00","10,217,009","0.86%","67","177","184","172","112","67","Jordan"
"Kazakhstan","103,815.00","244","75","","86,450.00","15,950.00","221","5,520.00","75","121,832.00","121,832.00","18,807,256","1.61%","42","62","47","152","57","42","Kazakhstan"
"Kenya","31,441.00","426","10","10","17,869.00","13,056.00","44","583","10","7,391.00","7,391.00","53,926,571","2.81%","161","134","141","111","103","161","Kenya"
"Kuwait","78,767.00","622","119","2","70,642.00","7,616.00","94","18,407.00","119","134,980.00","134,980.00","4,279,075","0.72%","35","46","7","178","44","35","Kuwait"
"Kyrgyzstan","42,507.00","182","229","0","35,486.00","5,523.00","24","6,501.00","229","40,944.00","40,944.00","6,538,600","4.05%","101","28","38","83","27","101","Kyrgyzstan"
"Laos","22","","0","","19","3","","3","","4,860.00","4,860.00","7,289,790","","173","","214","","114","173","Laos"
"Latvia","1,327.00","1","18","","1,093.00","201","","705","18","123,686.00","123,686.00","1,883,144","2.93%","41","114","133","107","95","41","Latvia"
"Lebanon","10,952.00","605","17","4","3,040.00","7,799.00","72","1,606.00","17","65,050.00","65,050.00","6,821,056","3.58%","70","118","100","86","96","70","Lebanon"
"Lesotho","996","50","14","","423","543","","464","14","5,611.00","5,611.00","2,144,591","6.62%","169","128","153","39","99","169","Lesotho"
"Liberia","1,284.00","2","16","","803","399","","253","16","0","","5,073,177","9.27%","","122","170","26","97","195","Liberia"
"Libya","9,707.00","244","25","4","1,047.00","8,487.00","","1,410.00","25","12,855.00","12,855.00","6,883,928","14.18%","144","103","105","14","90","144","Libya"
"Liechtenstein","99","1","26","","88","10","","2,595.00","26","23,595.00","23,595.00","38,143","1.12%","124","101","87","165","89","124","Liechtenstein"
"Lithuania","2,528.00","32","30","1","1,747.00","699","6","931","30","218,825.00","218,825.00","2,716,679","4.48%","20","98","125","70","86","20","Lithuania"
"Luxembourg","7,637.00","71","198","","6,903.00","610","3","12,174.00","198","1,126,386.00","1,126,386.00","627,342","1.76%","4","32","16","148","31","4","Luxembourg"
"MS Zaandam","9","","0","","","7","","","","0","","","100.00%","","","","1","114","195","MS Zaandam"
"Macao","46","","0","","46","0","","71","","6,258.00","6,258.00","650,532","","167","","195","","114","167","Macao"
"Madagascar","14,154.00","80","6","4","13,038.00","939","83","509","6","1,942.00","1,942.00","27,783,027","1.34%","183","148","150","161","107","183","Madagascar"
"Malawi","5,282.00","42","9","1","2,883.00","2,234.00","4","275","9","2,137.00","2,137.00","19,193,810","5.41%","181","137","168","54","104","181","Malawi"
"Malaysia","9,240.00","5","4","","8,932.00","183","7","285","4","35,535.00","35,535.00","32,422,234","1.38%","105","162","167","160","109","105","Malaysia"
"Maldives","6,370.00","145","44","","3,915.00","2,431.00","12","11,757.00","44","184,996.00","184,996.00","541,813","0.61%","25","84","17","185","75","25","Maldives"
"Mali","2,667.00","","6","","1,993.00","549","","131","6","1,610.00","1,610.00","20,325,303","5.90%","187","148","188","45","107","187","Mali"
"Malta","1,510.00","40","20","","802","699","","3,419.00","20","376,602.00","376,602.00","441,708","1.11%","13","112","75","168","94","13","Malta"
"Martinique","336","","43","","98","222","2","895","43","32,586.00","32,586.00","375,224","14.04%","112","85","127","15","76","112","Martinique"
"Mauritania","6,848.00","19","34","","6,123.00","567","3","1,468.00","34","14,762.00","14,762.00","4,665,419","2.52%","138","93","103","118","82","138","Mauritania"
"Mauritius","346","","8","","334","2","","272","8","161,379.00","161,379.00","1,272,065","2.91%","32","141","169","109","105","32","Mauritius"
"Mayotte","3,160.00","","143","","2,964.00","157","1","11,547.00","143","47,502.00","47,502.00","273,671","1.30%","89","41","18","162","40","89","Mayotte"
"Mexico","537,031.00","5,792.00","453","707","367,537.00","111,013.00","3,480.00","4,159.00","453","9,383.00","9,383.00","129,117,943","13.73%","153","13","57","16","13","153","Mexico"
"Moldova","31,937.00","522","228","7","21,885.00","9,131.00","362","7,920.00","228","45,609.00","45,609.00","4,032,626","4.04%","93","29","30","84","28","93","Moldova"
"Monaco","150","2","102","","115","31","1","3,819.00","102","1,322,632.00","1,322,632.00","39,280","3.36%","3","53","62","90","49","3","Monaco"
"Mongolia","298","","0","","281","17","1","91","","14,103.00","14,103.00","3,285,365","","139","","192","","114","139","Mongolia"
"Montenegro","4,229.00","55","129","1","3,186.00","962","","6,733.00","129","70,404.00","70,404.00","628,077","2.48%","68","44","36","122","43","68","Montenegro"
"Montserrat","13","","200","","12","0","","2,604.00","200","12,220.00","12,220.00","4,992","7.69%","145","31","86","32","30","145","Montserrat"
"Morocco","47,638.00","1,325.00","21","32","32,806.00","14,057.00","31","1,289.00","21","45,187.00","45,187.00","36,970,089","2.31%","94","111","110","129","93","94","Morocco"
"Mozambique","3,115.00","70","0.6","1","1,380.00","1,715.00","","99","0.6","2,623.00","2,623.00","31,367,587","1.43%","178","182","191","158","113","178","Mozambique"
"Myanmar","399","5","0.1","","333","60","","7","0.1","2,590.00","2,590.00","54,460,318","1.77%","179","189","213","147","113","179","Myanmar"
"Namibia","4,912.00","247","16","2","2,442.00","2,429.00","18","1,929.00","16","17,960.00","17,960.00","2,547,027","1.65%","131","122","92","150","97","131","Namibia"
"Nepal","29,645.00","707","4","6","17,964.00","11,555.00","","1,015.00","4","30,083.00","30,083.00","29,206,558","0.70%","116","162","118","179","109","116","Nepal"
"Netherlands","65,054.00","529","361","10","0","0","51","3,795.00","361","76,591.00","76,591.00","17,140,202","100.00%","63","17","63","1","17","63","Netherlands"
"New Caledonia","23","","0","","22","1","","80","","41,410.00","41,410.00","285,874","","99","","194","","114","99","New Caledonia"
"New Zealand","1,654.00","5","4","","1,531.00","101","6","331","4","131,446.00","131,446.00","5,002,100","1.42%","38","162","160","159","109","38","New Zealand"
"Nicaragua","4,311.00","","20","","2,913.00","1,265.00","","650","20","0","","6,635,277","4.37%","","112","139","74","94","195","Nicaragua"
"Niger","1,169.00","2","3","","1,082.00","18","","48","3","372","372","24,315,155","5.99%","193","169","202","43","110","192","Niger"
"Nigeria","50,964.00","476","5","7","37,569.00","12,403.00","7","246","5","1,705.00","1,705.00","206,802,324","2.57%","185","155","173","115","108","185","Nigeria"
"North Macedonia","13,194.00","118","266","3","9,752.00","2,888.00","4","6,333.00","266","63,596.00","63,596.00","2,083,362","5.38%","75","24","40","56","23","75","North Macedonia"
"Norway","10,197.00","35","49","2","9,150.00","783","1","1,879.00","49","108,447.00","108,447.00","5,427,090","2.80%","49","82","93","112","73","49","Norway"
"Oman","83,769.00","163","119","6","78,386.00","4,774.00","151","16,350.00","119","60,353.00","60,353.00","5,123,430","0.77%","79","46","11","174","44","79","Oman"
"Pakistan","290,958.00","513","28","8","272,804.00","11,945.00","725","1,314.00","28","10,673.00","10,673.00","221,460,187","2.23%","148","100","109","134","88","148","Pakistan"
"Palestine","17,989.00","383","23","1","10,682.00","7,187.00","","3,516.00","23","41,991.00","41,991.00","5,116,888","1.11%","98","107","71","167","92","98","Palestine"
"Panama","83,855.00","101","426","17","59,174.00","22,837.00","154","19,393.00","426","66,445.00","66,445.00","4,323,882","3.02%","69","14","6","101","14","69","Panama"
"Papua New Guinea","361","14","0.4","1","198","159","","40","0.4","1,610.00","1,610.00","8,969,502","1.98%","187","184","203","141","113","187","Papua New Guinea"
"Paraguay","11,817.00","684","24","5","6,783.00","4,864.00","63","1,654.00","24","23,250.00","23,250.00","7,144,441","2.44%","125","104","97","126","91","125","Paraguay"
"Peru","567,059.00","8,639.00","818","200","380,730.00","159,295.00","1,519.00","17,166.00","818","86,336.00","86,336.00","33,033,892","6.63%","58","3","9","38","3","58","Peru"
"Philippines","177,579.00","3,896.00","26","86","113,903.00","60,795.00","717","1,618.00","26","19,981.00","19,981.00","109,778,515","2.47%","129","101","99","124","89","129","Philippines"
"Poland","59,378.00","767","51","12","40,481.00","16,972.00","85","1,569.00","51","63,672.00","63,672.00","37,840,722","4.54%","74","78","101","66","71","74","Poland"
"Portugal","54,992.00","291","175","2","40,264.00","12,940.00","39","5,395.00","175","184,473.00","184,473.00","10,192,461","4.25%","26","34","49","80","33","26","Portugal"
"Qatar","116,224.00","268","69","","112,924.00","3,107.00","64","41,393.00","69","203,815.00","203,815.00","2,807,805","0.17%","23","65","1","191","60","23","Qatar"
"Romania","74,963.00","1,346.00","164","48","34,196.00","37,613.00","489","3,900.00","164","82,783.00","82,783.00","19,219,141","8.44%","60","35","61","28","34","60","Romania"
"Russia","942,106.00","4,785.00","110","110","755,513.00","170,494.00","2,300.00","6,455.00","110","229,541.00","229,541.00","145,943,309","2.09%","17","49","39","140","46","17","Russia"
"Rwanda","2,717.00","73","0.8","1","1,705.00","1,001.00","","209","0.8","27,042.00","27,042.00","12,993,865","0.64%","118","180","179","182","113","118","Rwanda"
"Réunion","996","51","6","","657","334","3","1,111.00","6","39,521.00","39,521.00","896,196","0.76%","104","148","115","176","107","104","Réunion"
"S. Korea","16,346.00","288","6","1","14,063.00","1,976.00","12","319","6","33,819.00","33,819.00","51,275,415","2.14%","111","148","162","137","107","111","S. Korea"
"Saint Kitts and Nevis","17","","0","","17","0","","319","","26,009.00","26,009.00","53,251","","120","","162","","114","120","Saint Kitts and Nevis"
"Saint Lucia","26","","0","","25","1","","142","","26,918.00","26,918.00","183,744","","119","","186","","114","119","Saint Lucia"
"Saint Martin","121","","129","","49","67","1","3,122.00","129","63,193.00","63,193.00","38,754","9.26%","76","44","77","27","43","76","Saint Martin"
"Saint Pierre Miquelon","5","","0","","1","4","","864","","0","","5,790","","","","128","","114","195","Saint Pierre Miquelon"
"San Marino","704","","1,237.00","","657","5","","20,742.00","1,237.00","191,833.00","191,833.00","33,941","6.01%","24","1","4","42","1","24","San Marino"
"Sao Tome and Principe","888","3","68","","829","44","","4,042.00","68","15,621.00","15,621.00","219,700","1.78%","137","66","59","145","61","137","Sao Tome and Principe"
"Saudi Arabia","303,973.00","1,287.00","102","42","275,476.00","24,949.00","1,682.00","8,713.00","102","129,021.00","129,021.00","34,886,672","1.27%","39","53","24","163","49","39","Saudi Arabia"
"Senegal","12,559.00","113","16","3","8,050.00","4,248.00","39","748","16","7,997.00","7,997.00","16,800,813","3.14%","159","122","132","98","97","159","Senegal"
"Serbia","30,209.00","161","79","5","27,908.00","1,612.00","52","3,459.00","79","96,474.00","96,474.00","8,732,325","2.41%","54","60","73","127","55","54","Serbia"
"Seychelles","132","","0","","126","6","","1,341.00","","0","","98,431","","","","107","","114","195","Seychelles"
"Sierra Leone","1,969.00","8","9","","1,536.00","364","","246","9","0","","7,998,386","4.30%","","137","173","79","104","195","Sierra Leone"
"Singapore","56,099.00","68","5","0","53,119.00","2,953.00","","9,579.00","5","298,108.00","298,108.00","5,856,690","0.05%","15","155","22","192","108","15","Singapore"
"Sint Maarten","348","15","396","","133","198","3","8,104.00","396","46,179.00","46,179.00","42,942","11.33%","92","15","29","18","15","92","Sint Maarten"
"Slovakia","3,102.00","80","6","","2,014.00","1,055.00","8","568","6","55,681.00","55,681.00","5,460,016","1.61%","83","148","142","151","107","83","Slovakia"
"Slovenia","2,536.00","43","62","","2,079.00","328","3","1,220.00","62","70,752.00","70,752.00","2,078,978","5.84%","66","71","112","46","65","66","Slovenia"
